POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Year
21.0,MS Dhoni RPS,14.0,12.0,5.0,284.0,64*,40.57,210.0,135.23,0.0,1.0,18.0,14.0,2016
22.0,Steve Smith RPS,8.0,7.0,1.0,270.0,101,45.0,176.0,153.4,1.0,0.0,27.0,8.0,2016
23.0,Wriddhiman Saha PBKS,12.0,12.0,1.0,270.0,56,24.54,212.0,127.35,0.0,2.0,29.0,1.0,2016
24.0,Jos Buttler MI,14.0,14.0,3.0,255.0,41,23.18,184.0,138.58,0.0,0.0,23.0,11.0,2016
25.0,Manish Pandey KKR,12.0,11.0,3.0,248.0,52,31.0,183.0,135.51,0.0,2.0,17.0,9.0,2016
26.0,Krunal Pandya MI,12.0,9.0,3.0,237.0,86,39.5,124.0,191.12,0.0,1.0,22.0,13.0,2016
27.0,Yuvraj Singh SRH,10.0,10.0,1.0,236.0,44,26.22,179.0,131.84,0.0,0.0,22.0,13.0,2016
28.0,Chris Gayle RCB,10.0,10.0,0.0,227.0,76,22.7,150.0,151.33,0.0,2.0,17.0,21.0,2016
29.0,Kieron Pollard MI,13.0,12.0,4.0,207.0,51*,25.87,144.0,143.75,0.0,1.0,11.0,16.0,2016
30.0,Faf du Plessis RPS,6.0,6.0,0.0,206.0,69,34.33,162.0,127.16,0.0,2.0,17.0,9.0,2016
31.0,Rishabh Pant DC,10.0,10.0,2.0,198.0,69,24.75,152.0,130.26,0.0,1.0,19.0,6.0,2016
32.0,Chris Morris DC,12.0,7.0,4.0,195.0,82*,65.0,109.0,178.89,0.0,1.0,15.0,12.0,2016
33.0,JP Duminy DC,10.0,8.0,3.0,191.0,49*,38.2,156.0,122.43,0.0,0.0,13.0,3.0,2016
34.0,Ravindra Jadeja GL,15.0,15.0,6.0,191.0,36*,21.22,178.0,107.3,0.0,0.0,14.0,4.0,2016
35.0,Andre Russell KKR,12.0,8.0,1.0,188.0,39*,26.85,114.0,164.91,0.0,0.0,10.0,15.0,2016
36.0,Suryakumar Yadav KKR,15.0,11.0,4.0,182.0,60,26.0,143.0,127.27,0.0,1.0,18.0,5.0,2016
37.0,Moises Henriques SRH,17.0,15.0,3.0,182.0,31*,15.16,158.0,115.18,0.0,0.0,15.0,6.0,2016
38.0,Glenn Maxwell PBKS,11.0,11.0,2.0,179.0,68,19.88,124.0,144.35,0.0,2.0,14.0,8.0,2016
39.0,Shane Watson RCB,16.0,15.0,2.0,179.0,36,13.76,134.0,133.58,0.0,0.0,14.0,12.0,2016
40.0,Parthiv Patel MI,10.0,10.0,0.0,177.0,81,17.7,152.0,116.44,0.0,1.0,23.0,4.0,2016
41.0,Saurabh Tiwary RPS,10.0,7.0,0.0,170.0,57,24.28,141.0,120.56,0.0,2.0,17.0,4.0,2016
42.0,Manan Vohra PBKS,7.0,7.0,0.0,161.0,51,23.0,131.0,122.9,0.0,1.0,19.0,3.0,2016
43.0,David Miller PBKS,14.0,13.0,3.0,161.0,31,16.1,131.0,122.9,0.0,0.0,11.0,4.0,2016
44.0,Shaun Marsh PBKS,6.0,6.0,1.0,159.0,56*,31.8,134.0,118.65,0.0,1.0,13.0,4.0,2016
45.0,Hashim Amla PBKS,6.0,6.0,0.0,157.0,96,26.16,119.0,131.93,0.0,1.0,20.0,4.0,2016
46.0,Thisara Perera RPS,12.0,10.0,3.0,150.0,34,21.42,93.0,161.29,0.0,0.0,7.0,11.0,2016
47.0,Marcus Stoinis PBKS,7.0,5.0,1.0,146.0,52,36.5,108.0,135.18,0.0,1.0,13.0,4.0,2016
48.0,Deepak Hooda SRH,17.0,15.0,1.0,144.0,34,10.28,121.0,119.0,0.0,0.0,9.0,5.0,2016
49.0,Naman Ojha SRH,17.0,13.0,3.0,136.0,37,13.6,138.0,98.55,0.0,0.0,7.0,5.0,2016
50.0,Usman Khawaja RPS,6.0,6.0,0.0,127.0,30,21.16,100.0,127.0,0.0,0.0,14.0,3.0,2016
51.0,Kane Williamson SRH,6.0,6.0,0.0,124.0,50,20.66,122.0,101.63,0.0,1.0,14.0,0.0,2016
52.0,Eoin Morgan SRH,7.0,6.0,1.0,123.0,51,24.6,105.0,117.14,0.0,1.0,8.0,4.0,2016
53.0,Sachin Baby RCB,11.0,6.0,1.0,119.0,33,23.8,79.0,150.63,0.0,0.0,9.0,5.0,2016
54.0,Shakib Al Hasan KKR,10.0,7.0,2.0,114.0,66*,22.8,106.0,107.54,0.0,1.0,7.0,5.0,2016
55.0,Gurkeerat Mann Singh PBKS,7.0,6.0,1.0,113.0,51,22.6,86.0,131.39,0.0,1.0,11.0,3.0,2016
56.0,Axar Patel PBKS,14.0,10.0,3.0,111.0,36*,15.85,77.0,144.15,0.0,0.0,4.0,8.0,2016
57.0,Nitish Rana MI,4.0,3.0,0.0,104.0,70,34.66,75.0,138.66,0.0,1.0,7.0,8.0,2016
58.0,Dwayne Bravo GL,15.0,13.0,5.0,99.0,22*,12.37,82.0,120.73,0.0,0.0,11.0,1.0,2016
59.0,Harbhajan Singh MI,14.0,7.0,4.0,92.0,45*,30.66,84.0,109.52,0.0,0.0,11.0,2.0,2016
60.0,Sam Billings DC,5.0,4.0,0.0,88.0,54,22.0,64.0,137.5,0.0,1.0,4.0,4.0,2016
61.0,George Bailey RPS,6.0,5.0,1.0,84.0,34,21.0,98.0,85.71,0.0,0.0,9.0,2.0,2016
62.0,Carlos Brathwaite DC,8.0,6.0,0.0,83.0,34,13.83,38.0,218.42,0.0,0.0,6.0,8.0,2016
63.0,James Faulkner GL,7.0,5.0,2.0,77.0,32,25.66,59.0,130.5,0.0,0.0,7.0,0.0,2016
64.0,Kevin Pietersen RPS,4.0,4.0,2.0,73.0,37,36.5,61.0,119.67,0.0,0.0,4.0,3.0,2016
65.0,Sarfaraz Khan RCB,5.0,4.0,2.0,66.0,35*,33.0,31.0,212.9,0.0,0.0,7.0,4.0,2016
66.0,Ben Cutting SRH,4.0,4.0,2.0,65.0,39*,32.5,34.0,191.17,0.0,0.0,4.0,6.0,2016
67.0,Stuart Binny RCB,14.0,6.0,3.0,63.0,21,21.0,39.0,161.53,0.0,0.0,5.0,4.0,2016
68.0,Martin Guptill MI,3.0,3.0,0.0,57.0,48,19.0,55.0,103.63,0.0,0.0,3.0,3.0,2016
69.0,Pawan Negi DC,8.0,6.0,4.0,57.0,19*,28.5,59.0,96.61,0.0,0.0,2.0,3.0,2016
70.0,Travis Head RCB,3.0,3.0,1.0,54.0,37,27.0,40.0,135.0,0.0,0.0,3.0,2.0,2016
71.0,Bipul Sharma SRH,7.0,4.0,2.0,51.0,27*,25.5,25.0,204.0,0.0,0.0,1.0,5.0,2016
72.0,Ashish Reddy SRH,4.0,3.0,1.0,47.0,32,23.5,29.0,162.06,0.0,0.0,2.0,4.0,2016
73.0,Hardik Pandya MI,11.0,9.0,2.0,44.0,9,6.28,63.0,69.84,0.0,0.0,4.0,0.0,2016
74.0,Bhuvneshwar Kumar SRH,17.0,8.0,2.0,43.0,21,7.16,27.0,159.25,0.0,0.0,6.0,1.0,2016
75.0,Kedar Jadhav RCB,4.0,3.0,3.0,42.0,25*,0.0,32.0,131.25,0.0,0.0,2.0,2.0,2016
76.0,Ishan Kishan GL,5.0,5.0,0.0,42.0,27,8.4,41.0,102.43,0.0,0.0,5.0,0.0,2016
77.0,Ravichandran Ashwin RPS,14.0,6.0,4.0,41.0,29,20.5,38.0,107.89,0.0,0.0,3.0,1.0,2016
78.0,Iqbal Abdulla RCB,8.0,2.0,2.0,37.0,33*,0.0,27.0,137.03,0.0,0.0,4.0,1.0,2016
79.0,Karn Sharma SRH,5.0,3.0,3.0,36.0,26*,0.0,30.0,120.0,0.0,0.0,3.0,1.0,2016
80.0,Rajat Bhatia RPS,10.0,6.0,5.0,34.0,21,34.0,20.0,170.0,0.0,0.0,1.0,2.0,2016
81.0,Mitchell McClenaghan MI,14.0,5.0,2.0,34.0,20,11.33,23.0,147.82,0.0,0.0,2.0,3.0,2016
82.0,Mohit Sharma PBKS,14.0,6.0,2.0,32.0,15,8.0,26.0,123.07,0.0,0.0,3.0,1.0,2016
83.0,Colin Munro KKR,4.0,3.0,0.0,30.0,16,10.0,30.0,100.0,0.0,0.0,3.0,0.0,2016
84.0,Shreyas Iyer DC,6.0,6.0,0.0,30.0,19,5.0,43.0,69.76,0.0,0.0,2.0,1.0,2016
85.0,Tim Southee MI,11.0,4.0,1.0,30.0,25,10.0,19.0,157.89,0.0,0.0,1.0,2.0,2016
86.0,Praveen Kumar GL,16.0,7.0,3.0,28.0,15,7.0,27.0,103.7,0.0,0.0,4.0,0.0,2016
87.0,Mayank Agarwal DC,3.0,3.0,0.0,27.0,10,9.0,25.0,108.0,0.0,0.0,3.0,1.0,2016
88.0,Piyush Chawla KKR,12.0,3.0,0.0,27.0,11,9.0,26.0,103.84,0.0,0.0,4.0,0.0,2016
89.0,Chris Lynn KKR,2.0,2.0,1.0,25.0,15,25.0,22.0,113.63,0.0,0.0,0.0,1.0,2016
90.0,Eklavya Dwivedi GL,4.0,2.0,0.0,24.0,19,12.0,14.0,171.42,0.0,0.0,2.0,2.0,2016
91.0,Rajagopal Sathish KKR,4.0,3.0,0.0,24.0,10,8.0,24.0,100.0,0.0,0.0,1.0,1.0,2016
92.0,Nikhil Naik PBKS,2.0,2.0,0.0,23.0,22,11.5,31.0,74.19,0.0,0.0,1.0,0.0,2016
93.0,Dhawal Kulkarni GL,14.0,5.0,3.0,23.0,6*,11.5,15.0,153.33,0.0,0.0,2.0,0.0,2016
94.0,Jason Holder KKR,4.0,4.0,0.0,22.0,13,5.5,19.0,115.78,0.0,0.0,2.0,1.0,2016
95.0,Akshdeep Nath GL,4.0,3.0,0.0,20.0,12,6.66,27.0,74.07,0.0,0.0,1.0,0.0,2016
96.0,Pradeep Sahu PBKS,5.0,2.0,1.0,19.0,18*,19.0,13.0,146.15,0.0,0.0,1.0,1.0,2016
97.0,Albie Morkel RPS,2.0,1.0,0.0,16.0,16,16.0,9.0,177.77,0.0,0.0,0.0,2.0,2016
98.0,Rishi Dhawan PBKS,2.0,2.0,2.0,14.0,11*,0.0,6.0,233.33,0.0,0.0,0.0,1.0,2016
99.0,Farhaan Behardien PBKS,3.0,3.0,1.0,14.0,9*,7.0,13.0,107.69,0.0,0.0,2.0,0.0,2016
100.0,Vinay Kumar MI,3.0,2.0,1.0,13.0,12,13.0,12.0,108.33,0.0,0.0,0.0,1.0,2016
101.0,KC Cariappa PBKS,5.0,2.0,1.0,13.0,12*,13.0,11.0,118.18,0.0,0.0,0.0,1.0,2016
102.0,Kyle Abbott PBKS,5.0,3.0,2.0,13.0,12*,13.0,8.0,162.5,0.0,0.0,0.0,1.0,2016
103.0,Irfan Pathan RPS,4.0,3.0,0.0,11.0,7,3.66,13.0,84.61,0.0,0.0,0.0,0.0,2016
104.0,Parveez Rasool RCB,4.0,1.0,0.0,10.0,10,10.0,9.0,111.11,0.0,0.0,1.0,0.0,2016
105.0,Nathan Coulter-Nile DC,4.0,2.0,2.0,9.0,7*,0.0,14.0,64.28,0.0,0.0,1.0,0.0,2016
106.0,Umesh Yadav KKR,9.0,2.0,1.0,9.0,7*,9.0,5.0,180.0,0.0,0.0,0.0,1.0,2016
107.0,Lendl Simmons MI,1.0,1.0,0.0,8.0,8,8.0,8.0,100.0,0.0,0.0,0.0,1.0,2016
108.0,Aditya Tare SRH,3.0,2.0,0.0,8.0,8,4.0,15.0,53.33,0.0,0.0,1.0,0.0,2016
109.0,Jasprit Bumrah MI,14.0,2.0,1.0,8.0,6,8.0,11.0,72.72,0.0,0.0,1.0,0.0,2016
110.0,Sandeep Sharma PBKS,14.0,4.0,4.0,8.0,5*,0.0,9.0,88.88,0.0,0.0,0.0,0.0,2016
111.0,Mitchell Marsh RPS,3.0,1.0,0.0,7.0,7,7.0,11.0,63.63,0.0,0.0,0.0,0.0,2016
112.0,Pravin Tambe GL,7.0,1.0,1.0,7.0,7*,0.0,19.0,36.84,0.0,0.0,1.0,0.0,2016
113.0,Sunil Narine KKR,11.0,4.0,3.0,7.0,4,7.0,13.0,53.84,0.0,0.0,0.0,0.0,2016
114.0,Peter Handscomb RPS,2.0,1.0,0.0,6.0,6,6.0,12.0,50.0,0.0,0.0,0.0,0.0,2016
115.0,Jayant Yadav DC,5.0,2.0,0.0,6.0,5,3.0,10.0,60.0,0.0,0.0,0.0,0.0,2016
116.0,Zaheer Khan DC,12.0,2.0,0.0,6.0,4,3.0,13.0,46.15,0.0,0.0,1.0,0.0,2016
117.0,David Wiese RCB,1.0,1.0,1.0,5.0,5*,0.0,4.0,125.0,0.0,0.0,0.0,0.0,2016
118.0,Mitchell Johnson PBKS,3.0,3.0,1.0,5.0,4,2.5,14.0,35.71,0.0,0.0,0.0,0.0,2016
119.0,Imran Tahir DC,4.0,1.0,0.0,5.0,5,5.0,7.0,71.42,0.0,0.0,1.0,0.0,2016
120.0,Amit Mishra DC,14.0,2.0,0.0,4.0,3,2.0,14.0,28.57,0.0,0.0,0.0,0.0,2016
121.0,Barinder Sran SRH,14.0,4.0,4.0,4.0,2*,0.0,4.0,100.0,0.0,0.0,0.0,0.0,2016
122.0,Ankit Sharma RPS,3.0,1.0,1.0,3.0,3*,0.0,3.0,100.0,0.0,0.0,0.0,0.0,2016
123.0,Chris Jordan RCB,9.0,1.0,0.0,3.0,3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,2016
124.0,Shreyas Gopal MI,1.0,1.0,0.0,2.0,2,2.0,16.0,12.5,0.0,0.0,0.0,0.0,2016
125.0,Mohammad Shami DC,8.0,2.0,2.0,2.0,2*,0.0,4.0,50.0,0.0,0.0,0.0,0.0,2016
126.0,Dale Steyn GL,1.0,1.0,0.0,1.0,1,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2016
127.0,Kane Richardson RCB,4.0,1.0,1.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,2016
128.0,Shahbaz Nadeem DC,4.0,1.0,1.0,1.0,1*,0.0,5.0,20.0,0.0,0.0,0.0,0.0,2016
129.0,Shadab Jakati GL,6.0,1.0,1.0,1.0,1*,0.0,2.0,50.0,0.0,0.0,0.0,0.0,2016
130.0,Ashish Nehra SRH,8.0,2.0,2.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,2016
131.0,Morne Morkel KKR,10.0,2.0,2.0,1.0,1*,0.0,1.0,100.0,0.0,0.0,0.0,0.0,2016
132.0,Swapnil Singh PBKS,1.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016
133.0,Unmukt Chand MI,1.0,1.0,0.0,0.0,0*,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2016
134.0,Adam Zampa RPS,5.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016
135.0,Shivil Kaushik GL,7.0,2.0,1.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016
136.0,Murugan Ashwin RPS,10.0,1.0,0.0,0.0,0*,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2016
1.0,David Warner SRH,14.0,14.0,3.0,641.0,126,58.27,452.0,141.81,1.0,4.0,63.0,26.0,2017
2.0,Gautam Gambhir KKR,16.0,16.0,4.0,498.0,76*,41.5,389.0,128.02,0.0,4.0,61.0,7.0,2017
3.0,Shikhar Dhawan SRH,14.0,14.0,1.0,479.0,77,36.84,376.0,127.39,0.0,3.0,53.0,9.0,2017
4.0,Steve Smith RPS,15.0,15.0,3.0,472.0,84*,39.33,387.0,121.96,0.0,3.0,38.0,12.0,2017
5.0,Suresh Raina GL,14.0,14.0,3.0,442.0,84,40.18,307.0,143.97,0.0,3.0,42.0,13.0,2017
6.0,Hashim Amla PBKS,10.0,10.0,3.0,420.0,104*,60.0,288.0,145.83,2.0,2.0,40.0,17.0,2017
7.0,Manish Pandey KKR,14.0,13.0,5.0,396.0,81*,49.5,308.0,128.57,0.0,2.0,28.0,12.0,2017
8.0,Parthiv Patel MI,16.0,16.0,0.0,395.0,70,24.68,293.0,134.81,0.0,2.0,49.0,8.0,2017
9.0,Rahul Tripathi RPS,14.0,14.0,0.0,391.0,93,27.92,267.0,146.44,0.0,2.0,43.0,17.0,2017
10.0,Robin Uthappa KKR,14.0,13.0,0.0,388.0,87,29.84,235.0,165.1,0.0,5.0,36.0,21.0,2017
11.0,Sanju Samson DC,14.0,14.0,0.0,386.0,102,27.57,273.0,141.39,1.0,2.0,32.0,19.0,2017
12.0,Kieron Pollard MI,17.0,16.0,3.0,385.0,70,29.61,276.0,139.49,0.0,3.0,26.0,22.0,2017
13.0,Ajinkya Rahane RPS,16.0,16.0,1.0,382.0,60,25.46,323.0,118.26,0.0,2.0,35.0,9.0,2017
14.0,Rishabh Pant DC,14.0,14.0,0.0,366.0,97,26.14,221.0,165.61,0.0,2.0,28.0,24.0,2017
15.0,Dinesh Karthik GL,14.0,13.0,3.0,361.0,65,36.1,259.0,139.38,0.0,2.0,30.0,11.0,2017
16.0,Shreyas Iyer DC,12.0,12.0,2.0,338.0,96,33.8,243.0,139.09,0.0,2.0,36.0,10.0,2017
17.0,Nitish Rana MI,13.0,12.0,1.0,333.0,62*,30.27,264.0,126.13,0.0,3.0,24.0,17.0,2017
18.0,Rohit Sharma MI,17.0,16.0,2.0,333.0,67,23.78,273.0,121.97,0.0,3.0,31.0,9.0,2017
19.0,Manoj Tiwary RPS,15.0,13.0,3.0,324.0,60,32.4,236.0,137.28,0.0,2.0,31.0,11.0,2017
20.0,Brendon McCullum GL,11.0,11.0,0.0,319.0,72,29.0,217.0,147.0,0.0,2.0,29.0,18.0,2017
21.0,Ben Stokes RPS,12.0,11.0,1.0,316.0,103*,31.6,221.0,142.98,1.0,1.0,22.0,15.0,2017
22.0,Glenn Maxwell PBKS,14.0,13.0,3.0,310.0,47,31.0,179.0,173.18,0.0,0.0,19.0,26.0,2017
23.0,Virat Kohli RCB,10.0,10.0,0.0,308.0,64,30.8,252.0,122.22,0.0,4.0,23.0,11.0,2017
24.0,Aaron Finch GL,13.0,13.0,1.0,299.0,72,24.91,180.0,166.11,0.0,2.0,25.0,19.0,2017
25.0,Chris Lynn KKR,7.0,7.0,1.0,295.0,93*,49.16,163.0,180.98,0.0,3.0,25.0,19.0,2017
26.0,MS Dhoni RPS,16.0,15.0,4.0,290.0,61*,26.36,250.0,116.0,0.0,1.0,15.0,16.0,2017
27.0,Karun Nair DC,14.0,13.0,0.0,281.0,64,21.61,226.0,124.33,0.0,1.0,39.0,6.0,2017
28.0,Ishan Kishan GL,11.0,10.0,0.0,277.0,61,27.7,206.0,134.46,0.0,1.0,29.0,13.0,2017
29.0,Moises Henriques SRH,12.0,11.0,5.0,277.0,55*,46.16,203.0,136.45,0.0,3.0,28.0,4.0,2017
30.0,Jos Buttler MI,10.0,10.0,0.0,272.0,77,27.2,177.0,153.67,0.0,1.0,27.0,15.0,2017
31.0,Kedar Jadhav RCB,13.0,13.0,1.0,267.0,69,22.25,186.0,143.54,0.0,1.0,25.0,10.0,2017
32.0,Shaun Marsh PBKS,9.0,8.0,0.0,264.0,84,33.0,194.0,136.08,0.0,2.0,36.0,5.0,2017
33.0,Kane Williamson SRH,7.0,7.0,1.0,256.0,89,42.66,169.0,151.47,0.0,2.0,20.0,10.0,2017
34.0,Yuvraj Singh SRH,12.0,11.0,2.0,252.0,70*,28.0,177.0,142.37,0.0,2.0,30.0,8.0,2017
35.0,Hardik Pandya MI,17.0,16.0,9.0,250.0,35*,35.71,160.0,156.25,0.0,0.0,11.0,20.0,2017
36.0,Krunal Pandya MI,13.0,11.0,4.0,243.0,47,34.71,179.0,135.75,0.0,0.0,24.0,7.0,2017
37.0,Dwayne Smith GL,12.0,12.0,1.0,239.0,74,21.72,156.0,153.2,0.0,2.0,32.0,8.0,2017
38.0,Wriddhiman Saha PBKS,14.0,11.0,1.0,234.0,93*,23.4,187.0,125.13,0.0,1.0,20.0,8.0,2017
39.0,Manan Vohra PBKS,11.0,9.0,0.0,229.0,95,25.44,159.0,144.02,0.0,1.0,23.0,9.0,2017
40.0,Axar Patel PBKS,14.0,13.0,5.0,227.0,44,28.37,162.0,140.12,0.0,0.0,11.0,11.0,2017
